scientificName,commonName
"Parupeneus barberinoides (Bleeker, 1852)",Bicolor goatfish
"Mycteroperca acutirostris (Valenciennes, 1828)",Comb Grouper
"Plectorhinchus lineatus (Linnaeus, 1758)",Diagonal-banded sweetlips
"Canthigaster jactator (Jenkins, 1901)",White-spotted Puffer
"Doryrhamphus dactyliophorus (Bleeker, 1853)",Zebra pipefish
"Arbacia lixula (Linnaeus, 1758)",Black Sea urchin
"Thalassoma purpureum (Forsskål, 1775)",Coral reef wrasse
"Centropristis ocyurus (Jordan & Evermann, 1887)",Bank sea bass
"Mitrocomella polydiademata (Romanes, 1876)",Spiral medusa
"Zebrasoma flavescens (Bennett, 1828)",Lemon sailfin surgeonfish
"Plectorhinchus multivittatus (Macleay, 1878)",Many-lined sweetlips
"Silurus glanis Linnaeus, 1758",Wels catfish
"Carpilius convexus (Forskål, 1775)",Convex Reef Crab
"Gymnothorax griseus (Lacepède, 1803)",Grey moray
"Hippocampus bargibanti Whitley, 1970",Pygmy seahorse
"Naso unicornis (Forsskål, 1775)",Bluespine unicornfish
"Trichechus senegalensis Link, 1795",African Manatee
"Hippocampus histrix Kaup, 1856",Spiny Seahorse
"Strongylura marina (Walbaum, 1792)",Atlantic Needlefish
"Tragulichthys jaculiferus (Cuvier, 1818)",Porcupinefish
"Negaprion brevirostris (Poey, 1868)",Lemon shark
"Strongylura senegalensis (Valenciennes, 1846)",Senegal needlefish
"Echeneis naucrates Linnaeus, 1758",Common remora
"Octopus joubini G.C.Robson, 1929",Atlantic Pygmy Octopus
"Enallopsammia rostrata (Pourtalès, 1878)",Beaked stony coral
"Hippocampus erectus Perry, 1810",Eastern seahorse
"Pervagor melanocephalus (Bleeker, 1853)",Redtail filefish
"Ogcocephalus porrectus Garman, 1899",Batfish
"Carcharodon carcharias (Linnaeus, 1758)",Great White Shark
"Citharichthys stigmaeus Jordan & Gilbert, 1882",Speckled Sanddab
"Ostracion immaculatus Temminck & Schlegel, 1850",Bluespotted boxfish
"Pseudechidna brummeri (Bleeker, 1858)",White ribbon eel
"Robsonella fontaniana (d'Orbigny, 1835)",Octopus
"Gymnothorax castaneus (Jordan & Gilbert, 1883)",Chestnut moray
"Cleidopus gloriamaris De Vis, 1882",Pineapplefish
"Leptomithrax gaimardii (H.Milne Edwards, 1834)",Spider crab
"Antennatus tuberosus (Cuvier, 1817)",Reticulated Frogfish
"Odaxothrissa mento (Regan, 1917)",Nigerian Fangtooth Pellonuline
"Echidna leucotaenia Schultz, 1943",Whiteface moray
"Diodon nicthemerus Cuvier, 1818",Porcupine fish
"Platycephalus bassensis Cuvier, 1829",Flathead
"Achoerodus viridis (Steindachner, 1866)",Blue groper
"Lutjanus viridis (Valenciennes, 1846)",Blue and gold snapper
"Sardinella gibbosa (Bleeker, 1849)",Fringescale sardinella
"Corythoichthys polynotatus Dawson, 1977",Many-spotted pipefish
"Octopus bocki Adam, 1941",Bock's octopus
"Sunagocia otaitensis (Cuvier, 1829)",Fringe-lip flathead
"Johnrandallia nigrirostris (Gill, 1862)",Blacknose butterflyfish
"Arothron reticularis (Bloch & Schneider, 1801)",Reticulated puffer
"Trachinotus rhodopus Gill, 1863",Gafftopsail Pompano
"Ostracion meleagris Shaw, 1796",Blue-spotted boxfish
"Hoplunnis punctata Regan, 1915",Slender duckbill eel
Sepiella inermis,Spineless cuttlefish
"Epinephelus erythrurus (Valenciennes, 1828)",Cloudy Grouper
"Octopus berrima Stranks & Norman, 1992",Southern Blue-ringed Octopus
"Trachinotus carolinus (Linnaeus, 1766)",Carolina Pompano
"Gymnothorax reticularis Bloch, 1795",Spotted moray
"Pomacentrus nagasakiensis Tanaka, 1917",Nagasaki damsel
"Rhinomuraena quaesita Garman, 1888",Ribbon eel
"Canthigaster valentini (Bleeker, 1853)",Valentin's sharpnose puffer
"Anyperodon leucogrammicus (Valenciennes, 1828)",Bumphead parrotfish
"Siganus unimaculatus (Evermann & Seale, 1907)",Foxface rabbitfish
"Epinephelus quinquefasciatus (Bocourt, 1868)",Goliath grouper
"Pterois miles (Bennett, 1828)",Devil firefish
"Bolbometopon muricatum (Valenciennes, 1840)",Bumphead parrotfish
"Antennarius pictus (Shaw, 1794)",Painted Frogfish
"Aetomylaeus nichofii (Bloch & Schneider, 1801)",Banded eagle ray
"Himantura gerrardi (Gray, 1851)",Butterfly ray
"Pseudanthias cooperi (Regan, 1902)",Cooper's fairy basslet
"Amphiprion Bloch & Schneider, 1801",Clownfish
"Coris formosa (Bennett, 1830)",Queen coris
"Thalassoma hardwicke (Bennett, 1830)",Hardwicke's Wrasse
"Chaetodon lunulatus Quoy & Gaimard, 1825",Oval Butterflyfish
"Thunnus orientalis (Temminck & Schlegel, 1844)",Pacific bluefin tuna
"Heteractis magnifica (Quoy & Gaimard, 1833)",Magnificent sea anemone
"Trichechus manatus latirostris (Harlan, 1824)",Florida manatee
"Eurypegasus draconis (Linnaeus, 1766)",Common seamoth
"Torpedo marmorata Risso, 1810",Common crampfish
"Pseudanthias pulcherrimus (Heemstra & Randall, 1986)",Resplendent anthias
"Zebrasoma xanthurum (Blyth, 1852)",Yellowtail tang
"Sepia elliptica Hoyle, 1885",Ovalbone Cuttlefish
"Batrachomoeus dubius (White, 1790)",Frogfish
"Eubalichthys bucephalus (Whitley, 1931)",Black reef leatherjacket
"Dasyatis Rafinesque, 1810",Stingray
"Aetomylaeus maculatus (Gray, 1834)",Mottled eagle ray
"Sargocentron rubrum (Forsskål, 1775)",Soldierfish
"Ciona intestinalis (Linnaeus, 1767)",Vase tunicate
"Mycteroperca venenosa (Linnaeus, 1758)",Grouper
"Holacanthus passer Valenciennes, 1846",King angelfish
"Sardina pilchardus (Walbaum, 1792)",Sardine
"Lysiosquillina lisa Ahyong & Randall, 2001",Caribbean Mantis Shrimp
"Dicentrarchus labrax (Linnaeus, 1758)",European bass
"Oxycheilinus mentalis (Rüppell, 1828)",Mental wrasse
"Haemulon bonariense Cuvier, 1830",Black Grunt
"Sepiola birostrata Sasaki, 1918",Butterfly Bobtail Squid
"Chromodoris coi (Risbec, 1956)",Coiochroa Nudibranch
"Xyrichtys novacula (Linnaeus, 1758)",Cleaver wrasse
"Aplysia californica J.G.Cooper, 1863",California sea hare
"Plagiotremus azaleus (Jordan & Bollman, 1890)",Sabertooth blenny
"Rhinopias eschmeyeri Condé, 1977",Eschmeyer's scorpionfish
"Mola mola (Linnaeus, 1758)",Sunfish
"Diplobatis ommata (Jordan & Gilbert, 1890)",Bullseye electric ray
"Aegires serenae (Gosliner & Behrens, 1997)",Sea slug
"Hoplangia durotrix Gosse, 1860",Weymouth Carpet Coral
"Periclimenes kororensis Bruce, 1977",Koror anemone shrimp
"Centropyge loriculus (Günther, 1874)",Flame Angelfish
"Scorpaenodes smithi Eschmeyer & Rama-Rao, 1972",Little scorpionfish
"Dasyatis brevis (Garman, 1880)",Diamond stingray
"Leptastrea purpurea (Dana, 1846)",Crust Coral
"Dactylopterus volitans (Linnaeus, 1758)",Flying gurnard
"Oligoplites saurus (Bloch & Schneider, 1801)",Skipjack Herring
Octopus tehuelchus d'Orbigny,Tehuelche octopus
"Parma microlepis Günther, 1862",White-ear
"Chaetodon hoefleri Steindachner, 1881",Banded butterflyfish
"Japetella heathi (S.S.Berry, 1911)",Heath's jessamine
"Stegastes adustus (Troschel, 1865)",Dusky Damselfish
"Scorpaena mystes Jordan & Starks, 1895",Pacific spotted scorpionfish
"Gymnothorax punctatus Bloch & Schneider, 1801",Whitespotted Moray
"Chromodoris annae Bergh, 1877",Anna's chromodoris
"Heniochus chrysostomus Cuvier, 1831",Horned bannerfish
"Leucoraja naevus (Müller & Henle, 1841)",Butterfly skate
"Sepia smithi Hoyle, 1885",Smith's Cuttlefish
"Achaeus cranchii Leach, 1817",Cranch's Spider Crab
"Amphiprion latezonatus Waite, 1900",Wide-band Anemonefish
"Coscinasterias tenuispina (Lamarck, 1816)",Blue Spiny Starfish
"Antennarius pauciradiatus Schultz, 1957",Dwarf Frogfish
"Chromodoris dianae Gosliner & Behrens, 1998",Diana's chromodorid
"Apogon fleurieu (Lacepède, 1802)",Cardinalfish
"Cereus pedunculatus (Pennant, 1777)",Daisy Anemone
"Parupeneus forsskali (Fourmanoir & Guézé, 1976)",Forsskål's goatfish
"Anisotremus virginicus (Linnaeus, 1758)",Atlantic porkfish
"Calliactis parasitica (Couch, 1842)",Hermit Anemone
"Etelis oculatus (Valenciennes, 1828)",Blear-eyed snapper
"Panulirus homarus (Linnaeus, 1758)",Scalloped spiny lobster
"Serranus tigrinus (Bloch, 1790)",Harlequin Bass
"Megalomma vesiculosum (Montagu, 1813)",Sea mouse
"Epinephelus morrhua (Valenciennes, 1833)",Comet grouper
"Strongylocentrotus purpuratus (Stimpson, 1857)",Purple sea urchin
"Scarus prasiognathos Valenciennes, 1840",Blue-faced parrotfish
"Chromis limbaughi Greenfield & Woods, 1980",Limbaugh's chromis
"Spirastrella cunctatrix Schmidt, 1868",Encrusting orange sponge
"Squatina squatina (Linnaeus, 1758)",Angel shark
"Sagartiogeton undata (Müller, 1778)",Small snakelocks anemone
"Crambe crambe (Schmidt, 1862)",Red encrusting sponge
"Upeneus australiae Kim & Nakaya, 2002",Australian goatfish
"Spongia officinalis Linnaeus, 1759",Bath sponge
"Halocynthia roretzi (Drasche, 1884)",Sea pineapple
"Spicara maena (Linnaeus, 1758)",Blotched picarel
"Carcharhinus brachyurus (Günther, 1870)",Bronze whaler
"Amblyglyphidodon curacao (Bloch, 1787)",Clouded damselfish
"Lybia tessellata (Latreille, 1812)",Common boxing crab
"Gymnothorax favagineus Bloch & Schneider, 1801",Honeycomb moray
"Chelmonops truncatus (Kner, 1859)",Truncate coralfish
"Takifugu poecilonotus (Temminck & Schlegel, 1850)",Finepatterned puffer
"Heterodontus japonicus Miklouho-Maclay & Macleay, 1884",Japanese bullhead shark
"Goniistius fuscus (Castelnau, 1879)",Tasmanian blenny
"Trachinops taeniatus Günther, 1861",Eastern hulafish
"Atypichthys strigatus (Günther, 1860)",Mado
"Notolabrus gymnogenis (Günther, 1862)",Crimsonband wrasse
"Pictilabrus laticlavius (Richardson, 1840)",Senator wrasse
"Anoplocapros inermis (Fraser-Brunner, 1935)",Chubby basketfish
"Spondyliosoma cantharus (Linnaeus, 1758)",Black sea bream
"Sepia tokioensis Ortmann, 1888",Japanese common cuttlefish
"Centropyge flavissima (Cuvier, 1831)",Lemonpeel angelfish
"Lagocephalus inermis (Temminck & Schlegel, 1850)",Smooth-backed blowfish
"Pontastacus leptodactylus (Eschscholtz, 1823)",Danube Crayfish
"Hydrophis melanocephalus Gray, 1849",Black-headed Sea Snake
"Plexaura homomalla (Esper, 1794)",Common bushy soft coral
"Squatina dumeril Lesueur, 1818",Angel Shark
"Acanthurus blochii Valenciennes, 1835",Surgeonfish
"Abudefduf saxatilis (Linnaeus, 1758)",Sergeant Major
"Redigobius bikolanus (Herre, 1927)",Bigmouth goby
"Abraliopsis felis McGowan & Okutani, 1968",Clawed enope squid
"Genicanthus semifasciatus (Kamohara, 1934)",Japanese Swallowtail Angel
"Pterocaesio tile (Cuvier, 1830)",Bluestreak fusilier
"Megalocranchia abyssicola (Goodrich, 1896)",Abyssal Cuttlefish
"Caesio caerulaurea Lacepède, 1801",Blue and gold fusilier
"Neophoca cinerea (Péron, 1816)",Australian Sea Lion
"Astichopus multifidus (Sluiter, 1910)",fissured sea cucumber
"Ectopleura crocea (Agassiz, 1862)",Pinkmouth hydroid
"Epinephelus tukula Morgans, 1959",Brown-marbled grouper
"Strongylocentrotus droebachiensis (O.F.Müller, 1776)",Green Sea Urchin
"Syngnathus temminckii Kaup, 1856",Longsnout pipefish
"Cottus poecilopus Heckel, 1837",Mottlefoot sculpin
"Scyllarides elisabethae (Ortmann, 1894)",Cape slipper lobster
"Eunicella tricoronata Velimirov, 1971",Sea Pen
"Protula bispiralis (Savigny, 1822)",Spiral Tube Worm
"Chrysiptera tricincta (Allen & Randall, 1974)",Threeband damselfish
"Gymnothorax dovii (Günther, 1870)",Finespotted moray
"Prionurus microlepidotus Lacepède, 1804",Sixplate sawtail
Myliobatiformes,Rays
"Pterois Oken, 1817",Lionfish
"Patinopecten Dall, 1898",Sea Scallop
"Janolus capensis Bergh, 1907",Silver nudibranch
"Dendrodoris caesia (Bergh, 1907)",Blue-speckled Sucking Dorid
"Cribrinopsis fernaldi Siebert & Spaulding, 1976",Fernald brooding anemone
"Rostanga elandsia Garovoy, Á.Valdés & Gosliner, 2001",Red Sponge Dorid
"Eunicella albicans (Kölliker, 1865)",White sea fan
"Goniobranchus heatherae (Gosliner, 1994)",Red-spotted Rainbow Dorid
"Astrocladus euryale (Retzius, 1783)",Sea cucumber
"Guinusia chabrus (Linnaeus, 1758)",Common carp
"Asterias forbesi (Desor, 1848)",Forbes's starfish
"Lagocephalus lunaris (Bloch & Schneider, 1801)",Pufferfish
"Caranx sexfasciatus Quoy & Gaimard, 1825",Banded trevally
"Rhinoptera neglecta Ogilby, 1912",Australian Cownose Ray
"Cantherhines sandwichiensis (Quoy & Gaimard, 1824)",Squaretail Filefish
"Limanda ferruginea (Storer, 1839)",Rusty Dab
"Urolophus bucculentus Macleay, 1884",Great stingaree
"Callinectes sapidus Rathbun, 1896",Blue Crab
"Upeneichthys lineatus (Bloch & Schneider, 1801)",Goatfish
"Dendrochirus barberi (Steindachner, 1900)",Hawaiian lionfish
"Coradion chrysozonus (Cuvier, 1831)",Orange-banded coralfish
"Octopus warringa Stranks, 1990",Warring's Octopus
"Epinephelus adscensionis (Osbeck, 1765)",Rock hind
"Phocarctos hookeri (Gray, 1844)",New Zealand sea lion
"Petrolisthes cinctipes (J.W.Randall, 1840)",Flat porcelain crab
"Jasus lalandii (H.Milne-Edwards, 1837)",Cape Rock Lobster
"Bonisa nakaza Gosliner, 1981",Gasflame Nudibranch
"Tropiometra carinata (Lamarck, 1816)",Sea lily
"Apletodon pellegrini (Chabanaud, 1925)",Chubby clingfish
"Himantura uarnak (Gmelin, 1789)",Banded whiptail stingray
"Notobryon wardi Odhner, 1936",Sandy Grassdragon
"Nembrotha kubaryana Bergh, 1877",Nembrotha
"Stegastes leucostictus (Müller & Troschel, 1848)",Beaugregory
"Pylodictis olivaris (Rafinesque, 1818)",Flathead Catfish
"Cephaloscyllium ventriosum (Garman, 1880)",Swell shark
"Paralabrax callaensis Starks, 1906",Southern rock bass
"Pagurus arcuatus Squires, 1964",Hairy Hermit Crab
"Pseudopleuronectes americanus (Walbaum, 1792)",Winter Flounder
"Periclimenes brevicarpalis (Schenkel, 1902)",Pepperoni shrimp
"Ichthyapus selachops (Jordan & Gilbert, 1882)",Smiling sand eel
"Salvelinus fontinalis (Mitchill, 1814)",Brook Trout
"Calamus brachysomus (Lockington, 1880)",Pacific porgy
"Leucoraja ocellata (Mitchill, 1815)",Winter Skate
"Scorpaenopsis venosa (Cuvier, 1829)",Raggy scorpionfish
"Pomacanthus zonipectus (Gill, 1862)",Cortez angelfish
"Caffrogobius nudiceps (Valenciennes, 1837)",Barehead goby
"Thysanozoon brocchii (Risso, 1818)",Papillose flatworm
"Poroderma pantherinum (Müller & Henle, 1838)",Leopard catshark
"Epinephelus lanceolatus (Bloch, 1790)",Giant Grouper
"Synodus sechurae Hildebrand, 1946",Sechura lizardfish
"Xanthichthys lineopunctatus (Hollard, 1854)",Striped triggerfish
"Ophioblennius atlanticus (Valenciennes, 1836)",Redlip Blenny
"Acanthurus bahianus Castelnau, 1855",Doctorfish
"Clinus venustris Gilchrist & Thompson, 1908",Speckled klipfish
"Okenia amoenula (Bergh, 1907)",Fiery Pump Dorid
"Samariscus triocellatus Woods, 1960",Three-spot flounder
"Enchelycore pardalis (Temminck & Schlegel, 1846)",Leopard moray eel
"Ophioderma wahlbergii Müller & Troschel, 1842",Brittle star
"Hemigymnus melapterus (Bloch, 1791)",Blackedge thicklip wrasse
"Galeocerdo cuvier (Péron & Lesueur, 1822)",Tiger shark
"Dromidia aegibotus Barnard, 1947",Mole crab
"Tambja capensis (Bergh, 1907)",Black Wrinkle Dorid
"Hypselodoris capensis (Barnard, 1927)",Cape dorid
"Thysanozoon Grube, 1840",Flatworm
"Cadlina laevis (Linnaeus, 1767)",White sea slug
"Diploastrea heliopora (Lamarck, 1816)",Double-star coral
"Neoglyphidodon melas (Cuvier, 1830)",Black Damselfish
"Urotrygon aspidura (Jordan & Gilbert, 1882)",Panamic stingray
"Sargocentron suborbitalis (Gill, 1863)",Tinsel squirrelfish
"Chrysiptera springeri (Allen & Lubbock, 1976)",Springer's damselfish
"Pseudorhombus dupliciocellatus Regan, 1905",Ocellated flounder
"Upeneus tragula Richardson, 1846",Bar-tailed goatfish
"Lethrinus olivaceus Valenciennes, 1830",Olive fish
"Linckia columbiae Gray, 1840",Columbian sea star
"Agelas clathrodes (Schmidt, 1870)",Orange Elephant Ear Sponge
"Plotosus lineatus (Thunberg, 1787)",Striped catfish
"Notorynchus cepedianus (Péron, 1807)",Seven-gill shark
"Selaroides leptolepis (Cuvier, 1833)",Bigeye scad
"Kyphosus cinerascens (Forsskål, 1775)",Blue sea chub
"Amblyeleotris fontanesii (Bleeker, 1853)",Giant shrimp goby
"Aegires minor (Eliot, 1904)",Sea slug
"Phycis blennoides (Brünnich, 1768)",Brosme
"Conchodytes tridacnae Peters, 1852",Giant-clam shrimp
"Ophichthus apicalis (Bennett, 1830) Bennett, 1830",Bluntnose snake-eel
"Scarus oviceps Valenciennes, 1840",Blue parrotfish
"Istigobius ornatus (Rüppell, 1830)",Ornate goby
"Lutjanus erythropterus Bloch, 1790",Red Snapper
"Chaetodon trifasciatus Park, 1797",Threebanded butterflyfish
"Protula tubularia (Montagu, 1803)",Smooth tubeworm
"Notoscopelus kroyeri (Malm, 1861)",Kroyer's lanternfish
"Seriatopora hystrix Dana, 1846",Bird's nest coral
"Holacanthus limbaughi Baldwin, 1963",Clipperton angelfish
"Canthigaster ocellicincta Allen & Randall, 1977",Shy Toby
Macrocystis pyrifera (L.) C.Agardh,Giant kelp
"Octopoteuthis danae Joubin, 1931",Dana's Vampire Squid
"Hermosilla azurea Jenkins & Evermann, 1889",Zebra perch
"Sepia bandensis Adam, 1939",Stumpy Cuttlefish
"Paralabrax maculatofasciatus (Steindachner, 1868)",Spotted sand bass
"Axinella dissimilis (Bowerbank, 1866)",Yellow staghorn sponge
"Oxyjulis californica (Günther, 1861)",Señorita
"Exocoetus volitans Linnaeus, 1758",Common flying fish
"Halichoeres trimaculatus (Quoy & Gaimard, 1834)",Three-spot wrasse
"Paralabrax clathratus (Girard, 1854)",Kelp bass
"Novaculichthys macrolepidotus (Bloch, 1791)",Bigscale razorfish
"Sparisoma rubripinne (Valenciennes, 1840)",Parrotfish
"Mobula japanica (Müller & Henle, 1841)",Japanese devil ray
"Urobatis halleri (Cooper, 1863)",Round Stingray
"Phalacrocorax penicillatus (Brandt, 1837)",Brandt's Cormorant
"Hermissenda crassicornis (Eschscholtz, 1831)",Sea lemon
"Loxorhynchus grandis Stimpson, 1857",Sheep crab
"Scorpaena russula Jordan & Bollman, 1890",Reddish scorpionfish
"Squatina californica Ayres, 1859",Pacific angel shark
"Citharichthys platophrys Gilbert, 1891",Small Sanddab
"Lythrypnus dalli (Gilbert, 1890)",Bluebanded goby
"Mobula mobular (Bonnaterre, 1788)",Devil ray
"Squalius cephaloides (Battalgil, 1942)",Thick-lipped chub
"Caesio xanthonota Bleeker, 1853",Yellowtail Fusilier
"Phyllidia exquisita Brunckhorst, 1993",Yellow-edged Wart Slug
"Chaetodon lunula (Lacepède, 1802)",Halfmoon butterflyfish
"Ostracion cyanurus Rüppell, 1828",Bluetail trunkfish
"Hemicaranx leucurus (Günther, 1864)",Yellowfin Jack
"Halichoeres papilionaceus (Valenciennes, 1839)",Schwatz's wrasse
"Cheilinus chlorourus (Bloch, 1791)",Wrasse
"Rossia glaucopis Lovén, 1845",Blue-eyed bob-tailed squid
"Sebastes auriculatus Girard, 1854",Brown rockfish
"Chromis punctipinnis (Cooper, 1863)",Blacksmith
"Scyliorhinus capensis (Müller & Henle, 1838)",Yellowspotted catshark
"Scarus dubius Bennett, 1828",Regal Parrotfish
"Epinephelus quoyanus (Valenciennes, 1830)",Coral cod
"Amphiprion polymnus (Linnaeus, 1758)",Saddleback clownfish
"Bolinopsis infundibulum (O.F.Müller, 1776)",Common northern comb jelly
"Chaetodontoplus mesoleucus (Bloch, 1787)",Butterflyfish
"Gymnothorax isingteena (Richardson, 1845)",Spotted moray
"Histrio histrio (Linnaeus, 1758)",Frogfish
"Gymnothorax mordax (Ayres, 1859)",California moray
"Nibea soldado (Lacepède, 1802)",Croaker
"Siganus punctatus (Schneider & Forster, 1801)",Brown-spotted spinefoot
"Acanthurus dussumieri Valenciennes, 1835",Black-spot surgeonfish
"Antennarius striatus (Shaw, 1794)",Blotched anglerfish
"Pseudorhombus javanicus (Bleeker, 1853)",Javan flounder
"Emydocephalus annulatus Krefft, 1869",Turtle-headed Sea Snake
"Cirrhitus pinnulatus (Forster, 1801)",Marbled hawkfish
"Pomadasys maculatus (Bloch, 1793)",Banded grunt
"Dicologlossa hexophthalma (Bennett, 1831)",Ocellated wedge sole
"Antennarius pardalis (Valenciennes, 1837)",Leopard frogfish
"Heterobranchus longifilis Valenciennes, 1840",Catfish
"Asterorhombus intermedius (Bleeker, 1865)",Blotched flounder
"Arctocephalus galapagoensis Heller, 1904",Galapagos Fur Seal
"Sphyraena idiastes Heller & Snodgrass, 1903",Barracuda
"Amphilius uranoscopus (Pfeffer, 1889)",Stargazer mountain catfish
"Heterodontus quoyi (Fréminville, 1840)",Galapagos bullhead shark
"Serranus tabacarius (Cuvier, 1829)",Tobacco fish
"Hypoplectrus nigricans (Poey, 1852)",Black Hamlet
"Farfantepenaeus subtilis (Pérez Farfante, 1967)",Southern brown shrimp
"Liopropoma rubre Poey, 1861",Peppermint Bass
"Leander tenuicornis (Say, 1818)",Brown Grass Shrimp
"Metanephrops binghami (Boone, 1927)",Caribbean lobsterette
"Serranus tortugarum Longley, 1935",Chalk Bass
"Pareques acuminatus (Bloch & Schneider, 1801)",High-hat
"Centropyge eibli Klausewitz, 1963",Eibl's angelfish
"Sepia gibba Ehrenberg, 1831",Common cuttlefish
"Galaxea fascicularis (Linnaeus, 1767)",Crystal coral
"Clarias gariepinus (Burchell, 1822)",African catfish
"Clarias ngamensis Castelnau, 1861",Blunt-toothed African catfish
"Scarus iseri (Bloch, 1789)",Grey chub
"Grampus griseus (G.Cuvier, 1812)",Risso's Dolphin
"Steno bredanensis (G.Cuvier, 1828)",Rough-toothed Dolphin
"Lepomis microlophus (Günther, 1859)",Redear Sunfish
"Lutjanus synagris (Linnaeus, 1758)",Blackfin Snapper
"Sparisoma atomarium (Poey, 1861)",Greenblotch Parrotfish
"Epinephelus drummondhayi Goode & Bean, 1878",Speckled Hind
"Stellifer zestocarus Gilbert, 1898",Softhead stardrum
"Epinephelus guttatus (Linnaeus, 1758)",Grouper
"Stellifer fuerthii (Steindachner, 1876)",White stardrum
"Urotrygon cimar López S. & Bussing, 1998",Cimar Round Ray
"Diplodus sargus lineatus (Valenciennes, 1830)",White Seabream
"Melibe leonina (A.Gould, 1852)",Lion nudibranch
"Pandalus hypsinotus Brandt, 1851",Coonstripe shrimp
"Anarrhichthys ocellatus Ayres, 1855",Wolf-eel
"Octopus rubescens S.S.Berry, 1953",Red octopus
"Torpedo panthera Olfers, 1831",Leopard torpedo
"Pseudoceros Lang, 1884",Sea slug
"Hediste diversicolor (O.F.Müller, 1776)",Ragworm
"Citharichthys sordidus (Girard, 1854)",Pacific sanddab
"Chromodoris kuniei Pruvot-Fol, 1930",Kunie's Chromodoris
"Platyrhinoidis triseriata (Jordan & Gilbert, 1880)",Thornback guitarfish
"Triopha maculata MacFarland, 1905",Mottled sea slug
"Synodus lucioceps (Ayres, 1855)",California lizardfish
"Soldatovia polyactocephala (Pallas, 1814)",Decorated warbonnet
"Phyllidia rueppelii (Bergh, 1869)",Rüppell's sea slug
"Gymnothorax Bloch, 1795",Common Moray
"Nereis vexillosa Grube, 1851",Mussel worm
"Thalassoma lucasanum (Gill, 1862)",Cortez rainbow wrasse
"Panulirus regius De Brito Capello, 1864",Royal Spiny Lobster
"Hemitaurichthys polylepis (Bleeker, 1857)",Pyramid Butterflyfish
"Chaetodon miliaris Quoy & Gaimard, 1825",Lemon butterflyfish
"Dactyloptena tiltoni Eschmeyer, 1997",Plain helmet gurnard
"Scophthalmus rhombus (Linnaeus, 1758)",Brill
"Ircinia campana (Lamarck, 1814)",Vase sponge
"Pareques umbrosus (Jordan & Eigenmann, 1889)",Cubbyu
"Exyrias belissimus (Smith, 1959)",Beautiful Goby
"Pseudobalistes fuscus (Bloch & Schneider, 1801)",Blue triggerfish
"Sphyraena ensis Jordan & Gilbert, 1882",Mexican barracuda
"Pyrostremma spinosum (Herdman, 1888)",Sea cucumber
"Chaetodon lineolatus Cuvier, 1831",Lined Butterflyfish
"Chaetodon mertensii Cuvier, 1831",Merten's butterflyfish
"Pachymetopon grande Günther, 1859",Bronze bream
"Stegastes variabilis (Castelnau, 1855)",Cocoa Damselfish
"Holothuria grisea Selenka, 1867",Gray sea cucumber
"Paralichthys albigutta Jordan & Gilbert, 1882",Gulf Flounder
"Chaetodontoplus septentrionalis (Temminck & Schlegel, 1844)",Bluestriped angelfish
"Caesio teres Seale, 1906",Beautiful fusilier
"Elagatis bipinnulata (Quoy & Gaimard, 1825)",Rainbow runner
"Sebastiscus marmoratus (Cuvier, 1829)",False kelpfish
"Doryrhamphus multiannulatus (Regan, 1903)",Many-banded pipefish
"Prognathodes marcellae (Poll, 1950)",French butterflyfish
"Sebastapistes ballieui (Sauvage, 1875)",Spotfin Scorpionfish
"Monachus schauinslandi Matschie, 1905",Hawaiian Monk Seal
"Engyophrys sanctilaurentii Jordan & Bollman, 1890",Speckledtail Flounder
"Scyllarus arctus (Linnaeus, 1758)",Small European Locust Lobster
"Planes minutus (Linnaeus, 1758)",Columbus crab
"Sardinella aurita Valenciennes, 1847",Round Sardinella
"Ophichthus spinicauda (Norman, 1922)",Banded Snake Eel
"Parapasiphae sulcatifrons S.I.Smith, 1884",Grooveback Shrimp
"Symphodus roissali (Risso, 1810)",Five-spotted wrasse
Animalia,Animal
"Pomadasys incisus (Bowdich, 1825)",Bastard grunt
"Enchelynassa canina (Quoy & Gaimard, 1824)",Toothy moray
"Dromia dormia (Linnaeus, 1763)",Sleepy sponge crab
"Stenella attenuata (Gray, 1846)",Pantropical Spotted Dolphin
"Heteroconger longissimus Günther, 1870",Brown garden eel
"Mobula thurstoni (Lloyd, 1908)",Lesser devil ray
"Urotrygon rogersi (Jordan & Starks, 1895)",Thorny stingray
"Citharichthys fragilis Gilbert, 1890",Gulf Sanddab
"Octopus wolfi (Wülker, 1913)",Pygmy Octopus
"Hippocampus jayakari Boulenger, 1900",Jayakar's seahorse
"Tegula brunnea (R.A.Philippi, 1849)",Brown top snail
"Patiria miniata (Brandt, 1835)",Bat star
"Synodus intermedius (Spix & Agassiz, 1829)",Lizardfish
"Umbrina steindachneri Cadenat, 1951",Steindachner's Drum
"Callionymus simplicicornis Valenciennes, 1837",Simple-spine Dragonet
"Scorpaena laevis Troschel, 1866",Senegalese rockfish
"Pseudocaranx dentex (Bloch & Schneider, 1801)",Blue trevally
"Dasyatis centroura (Mitchill, 1815)",Roughtail stingray
"Bathyuroconger vicinus (Vaillant, 1888)",Large-toothed Conger
"Ariosoma balearicum (Delaroche, 1809)",Balearic conger
"Macrocypraea cervus (Linnaeus, 1771)",Atlantic deer cowrie
"Gymnothorax afer Bloch, 1795",Dark moray
"Gymnothorax vicinus (Castelnau, 1855)",Brown moray
