,user_id,preferred_regions,preferred_animals,preferred_types,preferred_clusters
238,239,"['Malta', 'Virgin Islands', 'Philippines']","[23, 329]","['Pinnacle', 'Sandy bottom', 'Archaeological']","[7, 0]"
239,240,"['Denmark', 'Maldives', 'South Africa']","[149, 133, 114]","['Fjord', 'Cavern']","[7, 1]"
240,241,"['Saba', 'France', 'Northern Mariana Islands']","[329, 472, 44]","['Cavern', 'Pool']","[4, 2]"
241,242,"['Romania', 'Hawaii', 'Croatia']","[124, 387]","['Ocean', 'Cavern', 'Spring']","[3, 2]"
242,243,"['Madagascar', 'Philippines', 'Keeling Islands']","[245, 112, 23]","['Reef', 'Beach', 'Cave']","[0, 6]"
243,244,"['Sweden', 'Chagos Archipelago']","[430, 51, 465]","['Ocean', 'Archaeological']","[7, 4]"
244,245,"['Guam', 'Norway', 'Saint Vincent and the Grenadines']","[190, 183]","['Lake', 'Sea Loch']","[4, 6]"
245,246,"['Panama', 'East Timor']","[143, 186, 149]","['Wall', 'Drift']","[1, 3]"
246,247,"['Bulgaria', 'El Salvador', 'Mauritius']","[248, 339, 350]","['Beach', 'Sandy bottom', 'Cave']","[4, 2]"
247,248,"['Hawaii', 'Saba', 'Chile']","[219, 265, 352]","['Muck', 'Lake']","[0, 4]"
248,249,"['Taiwan', 'East Timor']","[13, 461]","['Pool', 'Reef']","[0, 1]"
249,250,"['Mexico', 'Montenegro']","[154, 402, 219]","['Drift', 'Quarry']","[0, 6]"
250,251,"['Taiwan', 'Azerbaijan', 'Malta']","[128, 126]","['Drift', 'Cavern', 'Pool']","[7, 1]"
251,252,"['Netherlands', 'Pakistan', 'Kenya']","[458, 374, 98]","['Cave', 'Quarry']","[4, 7]"
252,253,"['Sint-Maarten', 'Canada', 'Vietnam']","[489, 254]","['Sandy bottom', 'Spring', 'Lake']","[4, 0]"
253,254,"['Venezuela', 'Azores', 'Cyprus']","[153, 113]","['Drift', 'Sea Loch', 'Cavern']","[6, 2]"
254,255,"['South Korea', 'Honduras', 'France']","[23, 7, 307]","['Cave', 'Ocean']","[3, 2]"
255,256,"['Hungary', 'Northern Mariana Islands', 'Benin']","[340, 287, 380]","['Beach', 'Cavern']","[5, 4]"
256,257,"['Northern Mariana Islands', 'Jordan', 'Mexico']","[405, 237]","['River', 'Cave', 'Wreck']","[1, 4]"
257,258,"['Norway', 'United Kingdom']","[78, 386, 493]","['Archaeological', 'Ocean']","[4, 5]"
258,259,"['Mexico', 'Thailand', 'Dominica']","[380, 133, 338]","['Cavern', 'Muck', 'Wall']","[5, 3]"
259,260,"['Bahamas', 'Sint-Maarten', 'Curacao']","[341, 366]","['Beach', 'Channel', 'Wreck']","[1, 6]"
260,261,"['Portugal', 'Republic of Mauritius']","[268, 373, 412]","['Spring', 'Pinnacle', 'Cave']","[1, 3]"
261,262,"['Montenegro', 'Indonesia', 'Saba']","[198, 309]","['Pool', 'Reef']","[2, 1]"
262,263,"['Bermuda', 'Romania', 'Thailand']","[496, 319, 201]","['Channel', 'Quarry', 'Drift']","[3, 0]"
263,264,"['Taiwan', 'Romania', 'Chile']","[274, 226]","['Channel', 'Cave']","[7, 4]"
264,265,"['Germany', 'Argentina']","[219, 388, 484]","['Quarry', 'Ocean']","[6, 5]"
265,266,"['Finland', 'Hungary']","[91, 63, 225]","['Ocean', 'Quarry']","[7, 4]"
266,267,"['Latvia', 'Honduras', 'Egypt']","[98, 61]","['Wreck', 'Archaeological', 'Cave']","[5, 1]"
267,268,"['Reunion', 'Thailand', 'South Korea']","[15, 335, 22]","['Ocean', 'Fjord']","[2, 6]"
268,269,"['Norway', 'Jersey']","[191, 74, 481]","['Archaeological', 'Pinnacle', 'Sandy bottom']","[6, 7]"
269,270,"['Benin', 'Trinidad and Tobago', 'Federated States Of Micronesia']","[56, 381]","['Pool', 'Sandy bottom', 'Cavern']","[6, 3]"
270,271,"['French Polynesia', 'Honduras']","[301, 240, 324]","['Cavern', 'Cave', 'Pinnacle']","[7, 3]"
271,272,"['Chagos Archipelago', 'Mexico']","[321, 192]","['Drift', 'Sea Loch']","[5, 0]"
272,273,"['Vanuatu', 'China', 'Bahamas']","[175, 437]","['Cave', 'Sandy bottom']","[2, 3]"
273,274,"['Ecuador', 'Honduras', 'Jersey']","[31, 235]","['Drift', 'Quarry', 'Cave']","[1, 5]"
274,275,"['Jordan', 'Hawaii', 'Cyprus']","[386, 213]","['Spring', 'Beach', 'Muck']","[2, 1]"
275,276,"['South Korea', 'Senegal']","[164, 305]","['Beach', 'Wreck', 'Sandy bottom']","[2, 4]"
276,277,"['Kuwait', 'Netherlands', 'Iceland']","[125, 480]","['Beach', 'Reef', 'Wreck']","[0, 2]"
277,278,"['Singapore', 'Bermuda', 'Poland']","[467, 121, 138]","['Sandy bottom', 'Pinnacle', 'Wreck']","[7, 0]"
278,279,"['Sint-Maarten', 'Hungary']","[286, 208, 273]","['Sea Loch', 'Pool', 'Quarry']","[7, 0]"
279,280,"['Azerbaijan', 'Aruba']","[478, 450]","['Spring', 'Sea Loch']","[1, 0]"
280,281,"['Japan', 'Malta']","[275, 437]","['Beach', 'Cave', 'Archaeological']","[3, 5]"
281,282,"['Russia', 'Vietnam', 'Saint Kitts and Nevis']","[208, 121]","['Fjord', 'Cave']","[1, 4]"
282,283,"['Cyprus', 'French Polynesia', 'Libya']","[160, 163, 315]","['Pinnacle', 'Muck']","[5, 2]"
283,284,"['Greece', 'Saudi Arabia']","[241, 263]","['Wreck', 'Pool']","[5, 3]"
284,285,"['Madagascar', 'Argentina']","[176, 475]","['Fjord', 'Muck']","[7, 2]"
285,286,"['Romania', 'Germany', 'Spain']","[22, 55, 500]","['Sandy bottom', 'Ocean', 'Beach']","[6, 3]"
286,287,"['Brunei', 'Bahamas']","[475, 43, 156]","['River', 'Archaeological', 'Beach']","[2, 4]"
287,288,"['Spain', 'Belgium']","[85, 51]","['Ocean', 'Channel']","[0, 1]"
288,289,"['Croatia', 'Republic of Mauritius', 'Grenada']","[373, 257, 455]","['Sea Loch', 'Muck', 'Reef']","[2, 7]"
289,290,"['Canada', 'Belgium', 'Palau']","[62, 264]","['Wall', 'Wreck']","[3, 7]"
290,291,"['Costa Rica', 'Kenya', 'Norway']","[59, 116]","['Cave', 'Beach', 'Channel']","[3, 5]"
291,292,"['Guam', 'Singapore']","[77, 179]","['Drift', 'Sandy bottom', 'Ocean']","[1, 6]"
292,293,"['Canary Islands', 'Fiji', 'Ecuador']","[449, 288, 43]","['Ocean', 'Lake', 'Channel']","[5, 7]"
293,294,"['Bahamas', 'Malta']","[180, 362, 232]","['Muck', 'Cavern']","[5, 4]"
294,295,"['Ireland', 'Croatia']","[339, 472, 310]","['Cavern', 'Ocean']","[2, 3]"
295,296,"['Turkey', 'Vanuatu']","[32, 400, 195]","['Cave', 'Archaeological', 'Sea Loch']","[0, 3]"
296,297,"['Belize', 'Andaman and Nicobar', 'Italy']","[127, 347]","['Cave', 'Reef']","[5, 1]"
297,298,"['French Polynesia', 'Sint-Eustatius', 'Puerto Rico']","[411, 463, 284]","['River', 'Lake']","[6, 2]"
298,299,"['Brazil', 'Grenada', 'Netherlands']","[161, 484]","['Wreck', 'Channel']","[0, 6]"
299,300,"['Japan', 'Egypt']","[307, 322, 331]","['Cave', 'Wall', 'Ocean']","[5, 7]"
300,301,"['Puerto Rico', 'Denmark', 'Slovenia']","[29, 83]","['River', 'Cavern', 'Fjord']","[2, 4]"
301,302,"['Seychelles', 'Greece']","[322, 239]","['Lake', 'Spring']","[5, 4]"
302,303,"['Chagos Archipelago', 'Cyprus']","[181, 370]","['Quarry', 'Lake', 'Pool']","[3, 5]"
303,304,"['Switzerland', 'Libya', 'Denmark']","[242, 333, 174]","['Reef', 'Sea Loch', 'Pinnacle']","[5, 7]"
304,305,"['El Salvador', 'Austria']","[437, 343, 107]","['Cavern', 'Spring', 'Beach']","[0, 7]"
305,306,"['Portugal', 'Slovakia', 'South Korea']","[207, 212]","['Ocean', 'Beach', 'Reef']","[0, 5]"
306,307,"['Ireland', 'Sint-Eustatius']","[311, 13]","['Quarry', 'Sandy bottom', 'Channel']","[3, 5]"
307,308,"['Sweden', 'China']","[47, 487, 499]","['Archaeological', 'Ocean']","[6, 2]"
308,309,"['Germany', 'Dominica']","[467, 453, 313]","['Spring', 'Pool', 'Pinnacle']","[3, 0]"
309,310,"['Thailand', 'Honduras', 'New Zealand']","[446, 299]","['Drift', 'River', 'Archaeological']","[3, 0]"
310,311,"['El Salvador', 'Cape Verde', 'Italy']","[283, 277]","['Pinnacle', 'Pool', 'Cavern']","[3, 5]"
311,312,"['Spain', 'Canary Islands', 'Latvia']","[490, 266]","['Ocean', 'Cave']","[7, 1]"
312,313,"['Benin', 'Venezuela', 'Norway']","[126, 187]","['Channel', 'Reef']","[3, 7]"
313,314,"['United Arab Emirates', 'Jordan', 'Bermuda']","[299, 416, 79]","['Pool', 'Channel']","[1, 6]"
314,315,"['Colombia', 'Cape Verde', 'Gibraltar']","[491, 428]","['Fjord', 'Reef']","[5, 3]"
315,316,"['Cyprus', 'Dominica']","[391, 103]","['Sandy bottom', 'Spring']","[4, 6]"
316,317,"['Jersey', 'Barbados', 'Bermuda']","[423, 282, 99]","['Quarry', 'Archaeological']","[1, 6]"
317,318,"['Barbados', 'Sint-Eustatius']","[243, 479, 415]","['River', 'Muck']","[3, 7]"
318,319,"['Puerto Rico', 'Canary Islands']","[213, 65]","['Wall', 'Muck']","[1, 7]"
319,320,"['Cambodia', 'Denmark']","[226, 463, 152]","['Cave', 'Fjord']","[0, 5]"
320,321,"['Japan', 'Galapagos']","[368, 150, 300]","['Wall', 'Spring', 'Quarry']","[4, 5]"
321,322,"['Madeira', 'Northern Mariana Islands', 'Sweden']","[255, 408]","['Fjord', 'Ocean', 'Drift']","[1, 3]"
322,323,"['Thailand', 'Barbados']","[177, 481, 53]","['River', 'Lake']","[7, 6]"
323,324,"['Netherlands', 'Kenya']","[313, 169, 148]","['Spring', 'Cavern']","[7, 4]"
324,325,"['Italy', 'Switzerland']","[159, 73, 327]","['Ocean', 'Muck']","[4, 5]"
325,326,"['Saba', 'Venezuela']","[126, 128]","['Wall', 'Sandy bottom', 'Cavern']","[1, 6]"
326,327,"['Switzerland', 'Canary Islands', 'Ecuador']","[264, 360]","['River', 'Fjord', 'Ocean']","[0, 4]"
327,328,"['Fiji', 'Federated States Of Micronesia']","[388, 328, 236]","['Channel', 'Cave']","[5, 6]"
328,329,"['Qatar', 'Papua New Guinea']","[417, 238, 202]","['Fjord', 'Pool', 'Channel']","[4, 0]"
329,330,"['Colombia', 'Bonaire']","[247, 464]","['Pool', 'Sea Loch']","[6, 3]"
330,331,"['Malta', 'Kuwait']","[334, 381]","['Pinnacle', 'Wall']","[4, 1]"
331,332,"['Kenya', 'Argentina']","[241, 162]","['Sea Loch', 'Cave']","[7, 2]"
332,333,"['East Timor', 'Chagos Archipelago']","[322, 311]","['Wreck', 'Beach', 'River']","[2, 0]"
333,334,"['Bahamas', 'Senegal']","[490, 291, 345]","['Cavern', 'Wreck', 'Quarry']","[7, 2]"
334,335,"['Bahamas', 'Brunei']","[33, 79, 311]","['Pinnacle', 'Pool', 'Spring']","[3, 7]"
335,336,"['Mozambique', 'Belgium']","[382, 475]","['Cavern', 'Spring']","[1, 6]"
336,337,"['Cayman Islands', 'Madeira']","[345, 347, 482]","['Pool', 'Drift']","[0, 4]"
337,338,"['Hungary', 'Ecuador', 'Kenya']","[162, 355, 426]","['Cave', 'Archaeological']","[0, 3]"
338,339,"['Chile', 'Thailand']","[285, 261, 176]","['Pool', 'Sea Loch']","[2, 0]"
339,340,"['Singapore', 'Turkey', 'South Africa']","[171, 446, 374]","['Lake', 'Drift']","[2, 6]"
340,341,"['Saba', 'Curacao', 'Croatia']","[119, 487]","['Spring', 'Fjord', 'Wall']","[3, 6]"
341,342,"['Madagascar', 'Japan', 'Canada']","[483, 108]","['Wall', 'Spring', 'Fjord']","[2, 3]"
342,343,"['Venezuela', 'Chagos Archipelago', 'Australia']","[4, 375, 233]","['Beach', 'Muck']","[2, 7]"
343,344,"['Madagascar', 'South Africa', 'United Arab Emirates']","[329, 176]","['Cave', 'Muck', 'Archaeological']","[5, 3]"
344,345,"['Norway', 'Denmark']","[472, 244]","['Drift', 'Wall']","[5, 3]"
345,346,"['Jersey', 'Curacao', 'Montenegro']","[409, 35]","['Archaeological', 'Wall', 'Quarry']","[1, 5]"
346,347,"['French Polynesia', 'Tanzania']","[352, 396]","['Lake', 'Wall']","[2, 1]"
347,348,"['Romania', 'Luxembourg']","[315, 153]","['Archaeological', 'Lake', 'Beach']","[4, 0]"
348,349,"['Malta', 'Bermuda']","[161, 446, 173]","['Quarry', 'Lake']","[0, 7]"
349,350,"['Slovakia', 'Montenegro', 'East Timor']","[96, 90]","['Drift', 'Channel']","[4, 1]"
350,351,"['Netherlands', 'Federated States Of Micronesia', 'Peru']","[182, 498, 221]","['Cavern', 'River', 'Ocean']","[0, 4]"
351,352,"['Belgium', 'Keeling Islands', 'Peru']","[488, 477]","['Pinnacle', 'Archaeological']","[7, 1]"
352,353,"['Taiwan', 'Egypt']","[277, 107]","['Sandy bottom', 'Sea Loch', 'Wall']","[6, 1]"
353,354,"['Egypt', 'Hawaii', 'Puerto Rico']","[468, 353, 465]","['Cavern', 'Reef']","[0, 5]"
354,355,"['Virgin Islands', 'Azores']","[258, 32]","['Pool', 'Sandy bottom']","[5, 0]"
355,356,"['Federated States Of Micronesia', 'Thailand']","[466, 225, 228]","['Sandy bottom', 'Beach', 'Reef']","[5, 6]"
356,357,"['Azores', 'Ireland', 'Austria']","[40, 262, 162]","['Muck', 'Fjord']","[7, 3]"
357,358,"['Spain', 'Chile']","[154, 485, 327]","['Cavern', 'Pool', 'Drift']","[5, 4]"
358,359,"['Saudi Arabia', 'Dominican Republic', 'Iceland']","[436, 222]","['Muck', 'Quarry', 'Wall']","[2, 1]"
359,360,"['Turkey', 'Portugal', 'Sri Lanka']","[57, 272, 388]","['Quarry', 'Channel']","[1, 0]"
360,361,"['Virgin Islands', 'Chagos Archipelago']","[169, 300]","['Pinnacle', 'Cavern', 'River']","[0, 5]"
361,362,"['Germany', 'Taiwan']","[314, 173, 320]","['Spring', 'Channel']","[0, 6]"
362,363,"['Russia', 'Sint-Maarten', 'Sri Lanka']","[352, 247]","['Spring', 'River']","[7, 4]"
363,364,"['Chagos Archipelago', 'Barbados']","[234, 174, 240]","['Spring', 'Beach']","[4, 7]"
364,365,"['Malta', 'Japan', 'Norway']","[339, 346]","['Wall', 'Muck', 'Beach']","[1, 2]"
365,366,"['Mauritius', 'Jersey']","[167, 14, 483]","['Drift', 'Sandy bottom', 'Ocean']","[7, 1]"
366,367,"['Portugal', 'Canary Islands']","[426, 34, 354]","['Pool', 'Spring']","[1, 5]"
367,368,"['Malta', 'Maldives', 'Latvia']","[242, 192, 187]","['Muck', 'Channel']","[3, 5]"
368,369,"['New Zealand', 'Sint-Maarten', 'Maldives']","[94, 48, 77]","['Drift', 'Lake', 'Pool']","[2, 5]"
369,370,"['Denmark', 'Thailand', 'Cayman Islands']","[422, 366]","['Pinnacle', 'Beach', 'Spring']","[6, 4]"
370,371,"['Brunei', 'Sweden', 'Slovenia']","[79, 391]","['Cave', 'Spring']","[6, 2]"
371,372,"['Argentina', 'Luxembourg', 'Galapagos']","[154, 384, 198]","['Quarry', 'Drift', 'River']","[5, 1]"
372,373,"['Reunion', 'Thailand']","[89, 332]","['River', 'Spring']","[1, 5]"
373,374,"['Gibraltar', 'Poland']","[258, 178, 195]","['Beach', 'Quarry']","[7, 3]"
374,375,"['Jamaica', 'Guam']","[120, 88, 241]","['Beach', 'Drift']","[4, 0]"
375,376,"['Guadeloupe', 'Japan']","[289, 191, 84]","['Pool', 'Sandy bottom']","[6, 2]"
376,377,"['Latvia', 'Bahamas']","[215, 301, 288]","['Beach', 'Cavern']","[6, 2]"
377,378,"['Montenegro', 'Vietnam']","[10, 110]","['Reef', 'Beach']","[5, 2]"
378,379,"['South Korea', 'Croatia', 'Puerto Rico']","[234, 238]","['Fjord', 'Archaeological', 'River']","[5, 3]"
379,380,"['Keeling Islands', 'Australia']","[461, 423, 292]","['Lake', 'Sandy bottom']","[7, 0]"
380,381,"['El Salvador', 'Dominican Republic']","[408, 223, 25]","['Drift', 'Pool']","[0, 1]"
381,382,"['Egypt', 'Kenya']","[52, 142]","['Pool', 'Ocean', 'Lake']","[1, 7]"
382,383,"['Thailand', 'Maldives', 'Norway']","[50, 446, 383]","['Quarry', 'Muck', 'Lake']","[6, 4]"
383,384,"['Germany', 'Ecuador', 'Luxembourg']","[321, 319, 89]","['River', 'Muck', 'Fjord']","[7, 4]"
384,385,"['Canary Islands', 'Senegal', 'Republic of Mauritius']","[26, 262, 161]","['Quarry', 'Lake', 'Pinnacle']","[1, 5]"
385,386,"['Sint-Eustatius', 'Slovenia', 'Bermuda']","[464, 357]","['Drift', 'Pinnacle', 'Pool']","[7, 3]"
386,387,"['Montenegro', 'Cayman Islands', 'Chagos Archipelago']","[224, 468]","['Pinnacle', 'Quarry', 'Cave']","[3, 2]"
387,388,"['Malta', 'Northern Mariana Islands']","[62, 145, 426]","['Lake', 'Drift']","[1, 3]"
388,389,"['New Zealand', 'United Kingdom']","[195, 389]","['Ocean', 'Sea Loch', 'Quarry']","[5, 6]"
389,390,"['Croatia', 'Slovenia']","[9, 237]","['Beach', 'Pinnacle']","[4, 0]"
390,391,"['Argentina', 'Sint-Eustatius', 'United States']","[438, 405]","['Ocean', 'Quarry', 'Fjord']","[3, 0]"
391,392,"['Cambodia', 'Saint Vincent and the Grenadines', 'South Africa']","[424, 453]","['Fjord', 'Sea Loch']","[4, 0]"
392,393,"['New Zealand', 'Guadeloupe']","[331, 15, 373]","['Beach', 'Quarry', 'River']","[1, 2]"
393,394,"['Venezuela', 'Egypt', 'Austria']","[185, 449]","['Reef', 'Sandy bottom']","[6, 4]"
394,395,"['Poland', 'Libya']","[164, 323, 201]","['Spring', 'Beach']","[1, 4]"
395,396,"['Taiwan', 'Saint Vincent and the Grenadines', 'New Zealand']","[65, 70]","['Sandy bottom', 'Ocean']","[5, 6]"
396,397,"['Sri Lanka', 'Thailand', 'Saint Vincent and the Grenadines']","[283, 249, 486]","['Archaeological', 'Wreck']","[1, 7]"
397,398,"['Saudi Arabia', 'Sweden']","[330, 400, 498]","['Pool', 'Spring']","[2, 5]"
398,399,"['Papua New Guinea', 'Bermuda']","[277, 344]","['Sandy bottom', 'Reef']","[3, 1]"
399,400,"['Barbados', 'Thailand', 'Mauritius']","[123, 100, 20]","['Ocean', 'Fjord', 'Cavern']","[2, 4]"
